cos(theta),err_cos(theta),N
0.9999778556068749,5.447774200456794e-06,4
0.9999152397273265,8.0055975373517e-06,3
0.9998493299695231,7.1554180596708125e-06,2
0.9998007534062595,8.247591906472093e-06,1
