t,V,t_err,V_err
5.3e-06,0.019555555555555562,1.0677078252031313e-06,0.008332941167242935
8.900000000000003e-06,0.0468888888888889,1.0677078252031313e-06,0.00918367406221746
1.2499999999999999e-05,0.0728888888888889,1.067707825203131e-06,0.007458819405784309
1.61e-05,0.09466666666666668,1.0677078252031309e-06,0.0065798265666397945
1.9699999999999998e-05,0.11533333333333334,1.067707825203131e-06,0.0055306631875497204
2.3300000000000004e-05,0.13222222222222224,1.0677078252031313e-06,0.005035819409409262
2.69e-05,0.14422222222222225,1.0677078252031313e-06,0.002901430794210803
3.05e-05,0.15311111111111111,1.0677078252031309e-06,0.002676452632274756
3.4099999999999995e-05,0.15666666666666668,1.0677078252031313e-06,0.0031436209919735057
3.77e-05,0.15866666666666668,1.0677078252031313e-06,0.0019402850002906654
4.1299999999999994e-05,0.1548888888888889,1.0677078252031309e-06,0.0018435543958499087
4.490000000000001e-05,0.15000000000000002,1.0677078252031315e-06,0.0034299717028501795
4.85e-05,0.1406666666666667,1.0677078252031315e-06,0.004601789933084214
5.21e-05,0.12711111111111112,1.0677078252031315e-06,0.00486147991131349
5.57e-05,0.114,1.0677078252031313e-06,0.005179143694836503
5.9300000000000005e-05,0.09622222222222224,1.067707825203131e-06,0.005734883511361751
6.290000000000001e-05,0.07800000000000001,1.0677078252031306e-06,0.005698296959205805
6.649999999999999e-05,0.058222222222222224,1.0677078252031313e-06,0.006169713078995181
7.01e-05,0.03777777777777778,1.0677078252031313e-06,0.006320420272284166
7.37e-05,0.01866666666666667,1.0677078252031306e-06,0.005313689313240571
7.730000000000001e-05,-0.0006666666666666666,1.0677078252031313e-06,0.005179143694836503
8.09e-05,-0.019555555555555562,1.0677078252031309e-06,0.00580286158842162
8.45e-05,-0.03622222222222223,1.0677078252031315e-06,0.005568351277327285
8.809999999999999e-05,-0.05288888888888889,1.0677078252031306e-06,0.0052343760669689675
9.17e-05,-0.06711111111111112,1.0677078252031302e-06,0.0037712361663282514
9.53e-05,-0.08000000000000002,1.0677078252031309e-06,0.0038805700005813313
9.89e-05,-0.08822222222222223,1.067707825203131e-06,0.0032094631318604103
0.0001025,-0.0957777777777778,1.0677078252031315e-06,0.0034904163843226116
0.00010609999999999999,-0.1017777777777778,1.0677078252031313e-06,0.002045239970259649
0.0001097,-0.10533333333333333,1.0677078252031313e-06,0.0019402850002906654
0.00011329999999999999,-0.10555555555555557,1.0677078252031317e-06,0.0020065253028182027
0.00011690000000000001,-0.10244444444444446,1.0677078252031313e-06,0.0024307399556567385
0.0001205,-0.0988888888888889,1.0677078252031302e-06,0.0018435543958499087
0.0001241,-0.09222222222222223,1.0677078252031306e-06,0.0032094631318604146
0.00012770000000000001,-0.08444444444444445,1.0677078252031298e-06,0.003033581114637443
0.0001313,-0.07511111111111113,1.0677078252031306e-06,0.0037712361663282553
0.0001349,-0.0648888888888889,1.067707825203133e-06,0.003512815008087641
0.0001385,-0.05222222222222223,1.0677078252031313e-06,0.003750381244236935
0.00014209999999999998,-0.04044444444444444,1.0677078252031298e-06,0.004090479940519309
0.00014570000000000002,-0.02666666666666667,1.06770782520313e-06,0.004338609156373123
0.0001493,-0.015111111111111112,1.0677078252031323e-06,0.004241099869677106
0.00015289999999999998,-0.002666666666666666,1.0677078252031323e-06,0.004550371671956169
0.0001565,0.009333333333333336,1.06770782520313e-06,0.003880570000581328
0.0001601,0.020000000000000004,1.0677078252031298e-06,0.0033606722016672236
0.00016370000000000002,0.031111111111111114,1.067707825203131e-06,0.0037712361663282527
0.0001673,0.03955555555555556,1.067707825203133e-06,0.0036010165594506653
0.0001709,0.04666666666666667,1.0677078252031306e-06,0.003067859955389482
