ls,lr,V,err_V
2.2,105,1.86,0.03
3.5,105,1.85,0.003
5,105,1.88,0.01
6.5,105,1.91,0.01
8,105,1.93,0.02
9.5,105,1.96,0.02
11,105,2.03,0.02
12.5,105,2.07,0.02
13.5,105,2.11,0.01
15,105,2.17,0.02
16.5,105,2.30,0.03
18,105,2.40,0.03
19.5,105,2.51,0.03
20,105,2.45,0.02
21.5,105,2.54,0.03
23,105,2.60,0.03
24.5,105,2.66,0.03
26,105,2.67,0.02
27.5,105,2.67,0.02
30,105,2.78,0.02
