t,V,error_t,error_v
3.1999999999999897e-06,1.8981818181818182,1.933907960581372e-06,0.06789028582272222
9.799999999999993e-06,1.6545454545454545,1.9339079605813715e-06,0.0719848468902878
1.6399999999999992e-05,1.429090909090909,1.9339079605813715e-06,0.06105139414683938
2.299999999999999e-05,1.2533333333333334,1.933907960581371e-06,0.046547466812563
2.959999999999999e-05,1.0799999999999998,1.9339079605813707e-06,0.05291502622129186
3.619999999999999e-05,0.9236363636363637,1.9339079605813703e-06,0.045126085985421296
4.28e-05,0.8109090909090909,1.933907960581369e-06,0.036431754380934316
4.939999999999999e-05,0.7115151515151514,1.933907960581371e-06,0.032798743508823267
5.5999999999999986e-05,0.6266666666666667,1.93390796058137e-06,0.03109126351029603
6.259999999999999e-05,0.5442424242424243,1.9339079605813724e-06,0.02817693017238381
6.919999999999997e-05,0.4654545454545454,1.9339079605813715e-06,0.026111648393354676
7.579999999999999e-05,0.4096969696969697,1.9339079605813715e-06,0.026514718611184686
8.24e-05,0.36727272727272725,1.9339079605813737e-06,0.027303013486693107
8.899999999999998e-05,0.32727272727272727,1.9339079605813737e-06,0.015666989036012807
9.559999999999999e-05,0.2884848484848484,1.933907960581377e-06,0.016605950010691234
0.00010219999999999999,0.2545454545454546,1.933907960581376e-06,0.019540168418367865
0.00010879999999999999,0.22666666666666668,1.933907960581377e-06,0.02160246899469287
0.0001154,0.20606060606060608,1.9339079605813737e-06,0.024741083487212365
0.000122,0.18545454545454546,1.9339079605813737e-06,0.024120907566221095
0.00012859999999999998,0.16606060606060605,1.9339079605813715e-06,0.024741083487212365
0.00013519999999999998,0.15151515151515152,1.9339079605813715e-06,0.0193844673839024
0.00014179999999999998,0.14303030303030306,1.93390796058137e-06,0.02007561463642653
0.00014839999999999998,0.12,1.93390796058137e-06,0.0282842712474619
0.00015499999999999997,0.11272727272727272,1.933907960581371e-06,0.025405797477240217
0.0001616,0.11151515151515153,1.933907960581369e-06,0.01938446738390239
0.0001682,0.09818181818181819,1.9339079605813707e-06,0.02022599587389726
0.0001748,0.10060606060606062,1.9339079605813686e-06,0.02030076875690209
0.0001814,0.09333333333333334,1.9339079605813703e-06,0.027688746209726913
0.000188,0.08000000000000002,1.9339079605813686e-06,0.0282842712474619
0.0001946,0.07515151515151516,1.9339079605813686e-06,0.02959320151246863
0.0002012,0.07272727272727274,1.933907960581369e-06,0.02907670107585359
0.00020729999999999997,0.06571428571428573,1.645195023900409e-06,0.022348845595934017
