frequency,amplitude_CH1,err_amplitude_CH1,amplitude_CH2,err_amplitude_CH2,amplitude_MTH,err_amplitude_MTH,phase_diff_ch1_ch2,err_phase_diff_ch1_ch2,phase_diff_ch1_mth,err_phase_diff_ch1_mth
13340.0,0.9808333333333333,0.014565465244123799,0.6194444444444444,0.005494104584478289,0.8720000000000001,0.021226293966577273,-1.081144866902206,0.011184773657654258,0.6356803291615819,0.01074402951079536
21970.0,0.9930555555555556,0.01652544334587667,0.86675,0.008511520877864389,0.7378333333333333,0.026034758342940462,-0.7849598629710265,0.01721368612153345,1.0016310562317587,0.017375748086407242
28900.0,1.0133333333333334,0.012233265213252645,1.005666666666667,0.005150512380120905,0.6456666666666667,0.018127633908238294,-0.6485005715954482,0.009083838072668588,1.2795407103677026,0.010247612224268484
33780.0,1.0201666666666667,0.015211472278806239,1.068,0.0020069324297987577,0.586388888888889,0.01717286835119302,-0.5271201046871293,0.010527539434808551,1.3631791124518404,0.011967633426613772
37360.0,1.0254761904761909,0.014165499485064955,1.1025000000000003,0.002236067977499792,0.5450000000000002,0.018439088914585768,-0.50175287420307,0.011659509275339562,1.5127317246793635,0.013255872241077457
46100.0,1.0341666666666667,0.015842729041805385,1.166875,0.0050738592431252465,0.4620833333333333,0.017084059218027765,-0.3850145717919008,0.01399038016970934,1.7061028597767682,0.01608890424643715
55170.0,1.0425,0.013123346456686242,1.2178333333333335,0.003564874939367895,0.39458333333333334,0.01812380264244298,-0.31970779915201003,0.008909412200562931,1.8968076631431856,0.01179685610888271
62100.0,1.0461666666666667,0.011793948542461083,1.2358333333333333,0.003584302194601242,0.361,0.01942220950927631,-0.2587260034227043,0.009740204717792314,2.0457222191192113,0.01244858660918076
7277.0,0.9754166666666665,0.01587057024810391,0.364047619047619,0.004287918304520686,0.9583333333333334,0.026997942308422156,-1.3164824128675057,0.012778213569586014,0.3585961868136958,0.011193230288134329
84560.0,1.0484523809523811,0.010654817327159116,1.2710714285714284,0.003107424119119285,0.27119047619047615,0.0225609110852091,-0.1267614063269586,0.012553619251247903,2.4885884116448294,0.016719031926840783
