N,delta_cos_theta,err_delta_cos_theta
1,0.0006885306186088513,0.00010131815123147772
2,0.0013184357716113926,0.0001320441286338662
3,0.001963924421495844,0.00015730039089726985
4,0.0024806265276735573,0.00017482597353955787
