t,V,error_t,error_v
1.899999999999996e-06,1.59,1.1832159566199235e-06,0.15727950313140987
5.899999999999996e-06,1.152,1.1832159566199231e-06,0.12076946285338334
9.899999999999997e-06,0.8020000000000002,1.1832159566199214e-06,0.09035602097434231
1.3899999999999996e-05,0.5860000000000001,1.1832159566199233e-06,0.06777672322063319
1.7899999999999998e-05,0.404,1.1832159566199218e-06,0.04838442550634395
2.19e-05,0.2760000000000001,1.1832159566199242e-06,0.036476380245159666
2.59e-05,0.18800000000000003,1.1832159566199231e-06,0.03205258836744127
2.9899999999999995e-05,0.12800000000000003,1.1832159566199233e-06,0.03334035013865963
3.39e-05,0.08600000000000001,1.1832159566199218e-06,0.02683281572999747
3.79e-05,0.042,1.1832159566199185e-06,0.024192212753171977
4.19e-05,0.023999999999999997,1.1832159566199195e-06,0.02392972166464475
4.59e-05,0.0,1.1832159566199242e-06,0.01835325870964494
4.99e-05,-0.019999999999999997,1.1832159566199282e-06,0.030435436410107288
5.3899999999999996e-05,-0.02,1.1832159566199212e-06,0.02752988806446741
5.79e-05,-0.025999999999999995,1.1832159566199185e-06,0.02348571794449599
6.190000000000001e-05,-0.030000000000000006,1.183215956619923e-06,0.028654015976455154
6.59e-05,-0.04,1.183215956619928e-06,0.01835325870964494
6.989999999999999e-05,-0.03600000000000001,1.183215956619928e-06,0.017888543819998316
7.390000000000001e-05,-0.044,1.1832159566199212e-06,0.025628931020687497
7.79e-05,-0.052000000000000005,1.1832159566199212e-06,0.03205258836744127
8.19e-05,-0.03800000000000001,1.1832159566199212e-06,0.024192212753171977
8.59e-05,-0.046000000000000006,1.183215956619928e-06,0.02980639281482379
8.989999999999999e-05,-0.044000000000000004,1.183215956619928e-06,0.025628931020687497
9.389999999999999e-05,-0.05200000000000001,1.183215956619923e-06,0.02627786741327145
9.790000000000001e-05,-0.04800000000000001,1.1832159566199185e-06,0.020925934551223876
0.0001019,-0.044000000000000004,1.1832159566199212e-06,0.022100250058123303
0.0001059,-0.042,1.183215956619928e-06,0.024192212753171977
0.00010989999999999999,-0.052000000000000005,1.1832159566199242e-06,0.02930780388260186
0.0001139,-0.046,1.1832159566199195e-06,0.019574419397183716
0.00011789999999999999,-0.05800000000000001,1.1832159566199185e-06,0.027453309646130384
0.00012190000000000001,-0.046000000000000006,1.1832159566199254e-06,0.02980639281482379
0.00012590000000000002,-0.05,1.1832159566199278e-06,0.036418618720013035
0.0001299,-0.052000000000000005,1.1832159566199242e-06,0.01880649383926509
0.0001339,-0.05200000000000001,1.1832159566199195e-06,0.03205258836744127
0.0001379,-0.044000000000000004,1.1832159566199195e-06,0.028727393858384305
0.00014189999999999998,-0.044000000000000004,1.1832159566199242e-06,0.025628931020687497
0.0001459,-0.041999999999999996,1.1832159566199278e-06,0.027453309646130387
0.00014989999999999998,-0.052000000000000005,1.1832159566199242e-06,0.02627786741327145
0.0001539,-0.049999999999999996,1.1832159566199185e-06,0.028654015976455158
0.00015789999999999996,-0.046000000000000006,1.1832159566199193e-06,0.01957441939718372
0.0001619,-0.046,1.1832159566199242e-06,0.03250910803548996
0.00016590000000000002,-0.05,1.1832159566199278e-06,0.025546654946340203
0.0001699,-0.05800000000000001,1.1832159566199212e-06,0.020416711421361616
0.0001739,-0.054000000000000006,1.1832159566199185e-06,0.029806392814823786
0.0001779,-0.05600000000000001,1.1832159566199195e-06,0.02722228189514882
0.0001819,-0.052000000000000005,1.183215956619928e-06,0.022849622823099176
0.00018590000000000002,-0.044,1.1832159566199282e-06,0.03152275702609649
0.0001899,-0.05600000000000001,1.1832159566199212e-06,0.02722228189514882
0.0001939,-0.046,1.1832159566199185e-06,0.03250910803548996
0.00019789999999999999,-0.054000000000000006,1.1832159566199212e-06,0.026832815729997475
0.0002019,-0.04000000000000001,1.183215956619928e-06,0.01835325870964494
0.00020590000000000002,-0.052000000000000005,1.1832159566199282e-06,0.029307803882601863
0.00020989999999999998,-0.05600000000000001,1.1832159566199212e-06,0.023929721664644753
0.00021289999999999997,-0.044,6.055300708194882e-07,0.029514591494904877
