degree_angle,wavelength
150.66666666666666,734.6508
150.93333333333334,708.19
151.33333333333334,614.9475
151.54166666666666,588.8939
151.85,546.0735
152.56666666666666,520.4768
152.68333333333334,512.8442
153.7,433.9223
154.50833333333333,404.6563
154.61666666666667,398.3931
