frequency,amplitude_CH1,err_amplitude_CH1,amplitude_CH2,err_amplitude_CH2,amplitude_MTH,err_amplitude_MTH,phase_diff_ch1_ch2,err_phase_diff_ch1_ch2,phase_diff_ch1_mth,err_phase_diff_ch1_mth
10760.0,0.9746666666666666,0.04905212646879954,1.114,0.05420639568660991,0.44666666666666666,0.011221672153735627,0.413700984118369,0.009609907395722013,-1.694872300130406,0.016411708857612322
15190.0,0.9855555555555555,0.05073533358591496,1.049047619047619,0.05428710663767177,0.5680952380952382,0.008789122666607705,0.5500382461580352,0.01248307398466442,-1.349059862162025,0.01626926258848408
25410.0,1.0145833333333334,0.05690106748982378,0.8620833333333334,0.05943211190868042,0.7700000000000001,0.017950549357115052,0.8289253264846104,0.009749955225768193,-0.931056342663095,0.011753926240890373
30190.0,1.009,0.05192943930629986,0.7723333333333333,0.05510847887979164,0.8400000000000001,0.01666666666666668,0.943055798368246,0.010656486775788274,-0.8528369717667587,0.012002549119293823
37670.0,1.0272222222222223,0.05200071224583444,0.6708333333333334,0.05605305026886982,0.9052380952380952,0.022265830228563113,1.0140040242162869,0.013128696396890413,-0.7152461949120617,0.013753785474924372
40830.0,1.016904761904762,0.0552157265190495,0.6358333333333333,0.05307445852901516,0.9216666666666667,0.01581138830084188,1.1113357873054375,0.012844136264490593,-0.6409057584621382,0.012618987803100848
46290.0,1.04,0.0551597008022397,0.5812499999999999,0.052482360352294956,0.9641666666666667,0.02217355782608345,1.1055937026145461,0.010394038087850055,-0.552513412863096,0.01010199351063692
51980.0,1.0433333333333334,0.05108090895098926,0.5266666666666666,0.05973707825562382,0.9866666666666667,0.021343747458109547,1.200391603635194,0.011486575646615952,-0.5141687166561786,0.010676724762728058
58650.0,1.04,0.04962358310319811,0.46416666666666667,0.05207722186366164,1.002,0.02631011634756154,1.2908811864286174,0.012631424931896515,-0.46365338866976147,0.01134624306799257
64040.0,1.0438888888888889,0.05636356848046314,0.4126666666666667,0.054713267738882694,1.0175,0.015374943540998423,1.285860521177707,0.011152333730935838,-0.42585918557444175,0.010867520263199981
71000.0,1.0483333333333333,0.06128938642937213,0.38027777777777777,0.05579144365568242,1.0316666666666667,0.015129074290546949,1.3325505749689448,0.012466992178327824,-0.3461645704805344,0.010809477439919243
78480.0,1.0382142857142858,0.05969914652018154,0.3332142857142858,0.056084486060938285,1.037857142857143,0.012084359562332996,1.4141237576379333,0.01327466003546145,-0.32540786270583133,0.012171901666001367
