t,V,t_err,V_err
0.0,0.4457142857142856,8.366600265340757e-07,0.09362069837827085
2.800000000000001e-06,0.7214285714285714,8.366600265340757e-07,0.07336496154444289
5.6e-06,0.9285714285714286,8.366600265340757e-07,0.05186626929045399
8.400000000000001e-06,1.0814285714285716,8.366600265340757e-07,0.04537995878513619
1.1200000000000001e-05,1.1942857142857144,8.366600265340754e-07,0.026519741765271856
1.4000000000000001e-05,1.2685714285714285,8.366600265340757e-07,0.017032612545052814
1.6800000000000002e-05,1.312857142857143,8.366600265340755e-07,0.01266647387553303
1.96e-05,1.3314285714285714,8.366600265340755e-07,0.01027105182026192
2.2399999999999992e-05,1.3271428571428572,8.366600265340758e-07,0.009944903161976947
2.5199999999999996e-05,1.3100000000000003,8.366600265340754e-07,0.010377490433255426
2.8e-05,1.2785714285714287,8.366600265340753e-07,0.01231455852429765
3.080000000000001e-05,1.2328571428571429,8.366600265340751e-07,0.014898926873369854
3.3600000000000004e-05,1.1857142857142855,8.366600265340753e-07,0.016508406117111157
3.64e-05,1.1328571428571432,8.366600265340751e-07,0.016837947722821826
3.9200000000000004e-05,1.0771428571428572,8.36660026534076e-07,0.018985245861972953
4.2e-05,1.0185714285714285,8.36660026534076e-07,0.018337495365063815
4.480000000000002e-05,0.9557142857142856,8.366600265340754e-07,0.019499225118444586
4.76e-05,0.8928571428571429,8.366600265340757e-07,0.023014567770660622
5.039999999999999e-05,0.8371428571428573,8.366600265340757e-07,0.020542103640523824
5.320000000000001e-05,0.7828571428571428,8.366600265340757e-07,0.015406577730392878
5.6e-05,0.7257142857142856,8.366600265340759e-07,0.016508406117111157
5.8800000000000006e-05,0.6657142857142858,8.366600265340748e-07,0.014525460784051272
6.16e-05,0.6214285714285713,8.366600265340748e-07,0.016574838603294912
6.44e-05,0.5742857142857145,8.366600265340748e-07,0.014525460784051222
6.720000000000001e-05,0.5242857142857141,8.366600265340748e-07,0.011578684470436798
7.000000000000001e-05,0.48285714285714293,8.366600265340746e-07,0.013259870882635916
7.280000000000001e-05,0.44000000000000006,8.366600265340746e-07,0.01358732440973516
7.56e-05,0.4042857142857143,8.366600265340746e-07,0.013985864135061348
7.840000000000001e-05,0.36857142857142866,8.366600265340753e-07,0.01027105182026192
8.120000000000001e-05,0.33285714285714285,8.366600265340753e-07,0.009944903161976947
8.399999999999998e-05,0.30857142857142855,8.366600265340751e-07,0.01027105182026192
8.680000000000001e-05,0.2800000000000001,8.366600265340753e-07,0.011094003924504577
8.96e-05,0.25000000000000006,8.366600265340766e-07,0.010377490433255428
9.24e-05,0.22571428571428578,8.366600265340766e-07,0.012224996910042528
9.52e-05,0.2028571428571429,8.366600265340753e-07,0.007262730392025625
9.8e-05,0.18571428571428575,8.366600265340753e-07,0.009376144618769917
0.0001008,0.16714285714285712,8.366600265340753e-07,0.009944903161976933
0.00010360000000000001,0.14571428571428574,8.366600265340753e-07,0.009376144618769905
0.00010639999999999998,0.13142857142857148,8.366600265340746e-07,0.01027105182026192
0.00010920000000000003,0.12428571428571433,8.366600265340746e-07,0.008516306272526409
0.00011199999999999998,0.11000000000000003,8.366600265340746e-07,0.010377490433255412
0.00011480000000000001,0.09571428571428574,8.366600265340748e-07,0.008516306272526404
0.00011760000000000003,0.08571428571428572,8.366600265340755e-07,0.00937614461876991
0.00012039999999999999,0.08142857142857142,8.366600265340748e-07,0.00534522483824849
0.00012319999999999999,0.07142857142857142,8.366600265340748e-07,0.010271051820261912
0.000126,0.06000000000000002,8.366600265340748e-07,2.160249153155148e-17
0.0001288,0.054285714285714305,8.366600265340748e-07,0.009376144618769908
0.0001316,0.041428571428571426,8.366600265340748e-07,0.005345224838248487
0.0001344,0.04571428571428572,8.366600265340748e-07,0.009376144618769905
0.0001372,0.04,8.366600265340745e-07,0.00784464540552736
0.00014000000000000001,0.03571428571428571,8.366600265340748e-07,0.0085163062725264
0.00014279999999999997,0.02857142857142857,8.366600265340745e-07,0.01027105182026191
0.00014560000000000002,0.025714285714285717,8.36660026534076e-07,0.009376144618769908
0.0001484,0.02285714285714286,8.366600265340745e-07,0.007262730392025631
0.00015119999999999996,0.01857142857142857,8.36660026534076e-07,0.005345224838248487
0.000154,0.01714285714285714,8.366600265340773e-07,0.007262730392025631
0.0001568,0.01714285714285714,8.366600265340761e-07,0.007262730392025629
0.00015959999999999998,0.014285714285714282,8.366600265340745e-07,0.009376144618769908
0.0001624,0.012857142857142857,8.366600265340761e-07,0.009944903161976939
0.00016519999999999998,0.0071428571428571435,8.366600265340745e-07,0.009944903161976939
0.000168,0.004285714285714286,8.366600265340761e-07,0.008516306272526402
0.00017079999999999998,0.0071428571428571435,8.366600265340745e-07,0.009944903161976939
0.00017359999999999996,0.002857142857142857,8.366600265340747e-07,0.007262730392025629
0.00017639999999999998,0.0014285714285714286,8.366600265340745e-07,0.005345224838248488
0.0001792,0.0,8.366600265340748e-07,0.0
0.00018199999999999998,0.0,8.366600265340748e-07,0.0
0.00018480000000000002,0.0014285714285714286,8.366600265340747e-07,0.005345224838248488
0.00018759999999999998,0.0014285714285714286,8.366600265340748e-07,0.009492622930986468
0.0001904,0.0,8.366600265340766e-07,0.0
0.0001932,0.0,8.366600265340747e-07,0.0
0.00019599999999999997,-0.002857142857142857,8.366600265340765e-07,0.007262730392025629
0.0001988,-0.0014285714285714286,8.36660026534078e-07,0.005345224838248488
0.00020160000000000002,0.0,8.366600265340764e-07,0.0
0.00020439999999999995,0.0,8.366600265340758e-07,0.0
0.0002072,0.0,8.366600265340766e-07,0.0
0.00021,-0.002857142857142857,8.366600265340758e-07,0.007262730392025631
0.0002128,-0.002857142857142857,8.366600265340766e-07,0.007262730392025631
0.00021559999999999998,-0.002857142857142857,8.366600265340758e-07,0.007262730392025631
0.0002184,-0.004285714285714286,8.366600265340759e-07,0.008516306272526402
0.00022119999999999998,0.0014285714285714286,8.366600265340758e-07,0.005345224838248488
0.000224,-0.0014285714285714286,8.366600265340759e-07,0.005345224838248488
0.00022679999999999998,0.0,8.366600265340765e-07,0.0
0.00022959999999999997,-0.005714285714285714,8.366600265340758e-07,0.00937614461876991
0.00023239999999999998,-0.0014285714285714286,8.366600265340765e-07,0.005345224838248488
0.0002352,-0.004285714285714286,8.36660026534078e-07,0.008516306272526402
0.00023799999999999996,-0.004285714285714286,8.366600265340798e-07,0.008516306272526402
0.0002408,-0.002857142857142857,8.366600265340795e-07,0.007262730392025631
0.0002436,-0.0014285714285714286,8.36660026534072e-07,0.005345224838248488
0.00024639999999999997,-0.002857142857142857,8.366600265340735e-07,0.007262730392025631
0.0002492,-0.0014285714285714286,8.366600265340775e-07,0.005345224838248488
0.00025199999999999995,-0.0014285714285714286,8.366600265340759e-07,0.005345224838248488
0.00025479999999999996,-0.0014285714285714286,8.36660026534072e-07,0.005345224838248488
0.00025760000000000003,-0.0014285714285714286,8.366600265340735e-07,0.005345224838248488
0.0002604,0.0,8.366600265340775e-07,0.0
0.00026319999999999995,-0.0014285714285714286,8.366600265340759e-07,0.005345224838248488
0.000266,-0.002857142857142857,8.366600265340714e-07,0.007262730392025631
0.0002688,-0.0014285714285714286,8.366600265340735e-07,0.005345224838248488
