theta_e,V,err_V
303,3.07,0.02
302,3.01,0.02
301,2.99,0.02
300,2.93,0.02
299,2.84,0.02
304,3.03,0.02
305,3.03,0.02
306,3.00,0.02
307,3.00,0.02
308,2.99,0.02
309,2.98,0.02
298,2.74,0.02
