r_lastre,V,err_V
17,1.48,0.02
19,1.98,0.02
21,1.12,0.02
23,1.73,0.02
25,1.60,0.02
27,0.82,0.02
29,1.62,0.02
31,1.57,0.02
33,1.50,0.02
37,1.02,0.02
35,1.06,0.02
39,2.17,0.02
41,1.12,0.02
16,1.57,0.02
18,1.37,0.02
20,1.75,0.02
22,1.05,0.02
24,1.55,0.02
26,1.66,0.02
28,1.06,0.02
30,1.76,0.02
32,1.42,0.02
34,0.75,0.02
36,1.89,0.02
38,1.32,0.02
40,0.95,0.02
