frequency,amplitude_CH1,err_amplitude_CH1,amplitude_CH2,err_amplitude_CH2,amplitude_MTH,err_amplitude_MTH,phase_diff_ch1_ch2,err_phase_diff_ch1_ch2,phase_diff_ch1_mth,err_phase_diff_ch1_mth
1337.0,1.0037500000000001,0.0065351613088993265,1.0797222222222222,0.0006804138174397875,0.33766666666666667,0.017779513804126117,-0.31610752980757933,0.01054950043414894,1.6535840564110154,0.012987744526438246
15670.0,0.9909523809523809,0.012886870394763404,1.0450000000000002,0.008819171036882005,0.571904761904762,0.017858201026848805,0.5546779315034479,0.012250927197413358,-1.414866941406966,0.014296442428571284
197.7,1.0651851851851852,0.002756865727955428,0.5222916666666666,0.001651718681608519,0.9342592592592592,0.02538743005777206,-1.0704359540230004,0.015111447105480322,0.526473922351299,0.015234747587216
20880.0,0.9881481481481481,0.01258842183109264,0.9449999999999998,0.007500000000000007,0.6861666666666667,0.016997639632796664,0.7040257631577297,0.01635831074684541,-1.1677643772294206,0.017225592170226994
28550.0,1.0133333333333332,0.013202482931462516,0.8136666666666666,0.004314059701848228,0.8106666666666665,0.023172061721919383,0.9230836888431709,0.010170291760814245,-0.9227919594480638,0.010434676565726567
3046.0,0.9866666666666667,0.012923385349392469,1.1748333333333334,0.0018066236157232031,0.20944444444444435,0.023206001777956457,-0.08195852830943737,0.009386523721532616,2.6700317340906943,0.01715662668195184
33.0,1.0919444444444446,0.006361050460652164,0.10166666666666666,0.005237418787490219,1.09,0.019578900207451348,-1.437524727574749,0.015668627958166346,0.09203578289619348,0.010198688801245363
340.0,1.0576388888888888,0.0037049766331047,0.7395833333333334,0.002024159633581813,0.7769999999999999,0.024163792932585873,-0.8248034609074802,0.010819033721524807,0.7438516436829647,0.010733257180779731
40100.0,1.03,0.012801909579780956,0.6470833333333333,0.0024800793638094895,0.9204761904761904,0.02698961195421588,1.0940809590274037,0.013309594454475373,-0.6715285114119035,0.013146838443432821
53790.0,1.0426666666666666,0.013181426326464109,0.5083333333333333,0.0023570226039551605,0.986333333333333,0.02807232722015677,1.2634048300040366,0.011262290954848306,-0.4997185931227561,0.00981682778318574
671.3,1.0285,0.009040802570077063,0.9480555555555555,0.010350344420821429,0.528888888888889,0.02604838802149803,-0.5075616802688545,0.010172916128759413,1.1268197473132693,0.011889309466763462
