frequency,amplitude_CH1,err_amplitude_CH1,amplitude_CH2,err_amplitude_CH2,amplitude_MTH,err_amplitude_MTH,phase_diff_ch1_ch2,err_phase_diff_ch1_ch2,phase_diff_ch1_mth,err_phase_diff_ch1_mth
1056.0,1.0279166666666668,0.009166666666666679,1.0404166666666668,0.0019837301190395707,0.44125000000000003,0.017918281580966797,-0.41356126005756105,0.014849822952871362,1.4422158942757592,0.0161536046251529
1210.0,0.9916666666666668,0.014472195564061596,1.0231818181818182,0.005759270085626446,0.3996969696969698,0.01947674085527232,-0.3927366866610094,0.014849822952871362,1.480921531745765,0.0161536046251529
132.5,1.0946666666666667,0.004354116825871153,0.3838888888888889,0.004036867138796659,1.019666666666667,0.01340605170146016,-1.176777785568331,0.014849822952871362,0.34665690806356436,0.0161536046251529
1495.0,1.008888888888889,0.009214521550650754,1.0976190476190477,0.004498677054212132,0.3692857142857143,0.013432173332088921,-0.3465072769507233,0.014849822952871362,1.591870037831098,0.0161536046251529
222.6,1.0600000000000003,0.021794494717703488,0.5635416666666667,0.0010485881160098506,0.90625,0.03229995413366763,-0.9636678078857219,0.014849822952871362,0.5495332535200452,0.0161536046251529
3097.0,0.9943333333333335,0.011627911821704532,1.1826666666666665,0.010348107717516918,0.30033333333333334,0.010501322668015558,-0.20723682644642058,0.014849822952871362,2.183114805388609,0.0161536046251529
346.9,1.0693055555555555,0.008189028341945369,0.7580555555555556,0.0022152668930418996,0.7886111111111113,0.02006701734651129,-0.8113278577236493,0.014849822952871362,0.7676826029936452,0.0161536046251529
422.4,1.018888888888889,0.02411392712690083,0.7963888888888889,0.0026787918780536374,0.7122222222222222,0.0252395926480013,-0.7296321173855452,0.014849822952871362,0.9227309377015914,0.0161536046251529
572.7,1.0463333333333336,0.008027729719194823,0.9114583333333335,0.0031457643480294513,0.6116666666666666,0.017519830034690573,-0.6105331027227812,0.014849822952871362,1.0997727276562423,0.0161536046251529
597.5,1.0236666666666667,0.021615323782497944,0.8933333333333333,0.007728015412913073,0.5886666666666667,0.02086331176438141,-0.6015016750679115,0.014849822952871362,1.077025334065887,0.0161536046251529
636.4,1.0236666666666667,0.021615323782497944,0.9087500000000001,0.004005204946899324,0.5625000000000001,0.022304708023195487,-0.5900671607430656,0.014849822952871362,1.0699491335622178,0.0161536046251529
725.1,1.0135714285714286,0.018038758976072187,0.9383333333333334,0.003800584750330514,0.5211111111111112,0.02337298218662519,-0.5014285740400999,0.014849822952871362,1.1444385639871144,0.0161536046251529
81.73,1.0652380952380953,0.019683339717483456,0.24119047619047615,0.0023499971856338103,1.043809523809524,0.030134179648179996,-1.3335631461213613,0.014849822952871362,0.23237482142202057,0.0161536046251529
828.5,1.0125,0.013915846853526167,0.9651190476190477,0.00865261375930563,0.48214285714285715,0.023108325534203233,-0.48260706584536345,0.014849822952871362,1.272161766874336,0.0161536046251529
963.5,1.0044444444444443,0.01513825177048741,0.986875,0.0038253021459665896,0.44749999999999995,0.020644381225662208,-0.44744693833925064,0.014849822952871362,1.3643916850195894,0.0161536046251529
