V[V],sigma_V[V],I[muA],sigma_I[muA]
0.207,0.001,42.0,1
0.306,0.001,62.0,1
0.404,0.001,81.6,1
0.510,0.001,103.0,1
0.608,0.001,122.2,1
0.710,0.001,142.6,1
0.810,0.001,162.7,1
0.910,0.001,182.6,1
1.015,0.001,203.7,1
1.119,0.001,224.5,1
1.214,0.001,243.7,1
1.314,0.001,263.5,1
1.412,0.001,283.3,1
1.514,0.001,303.9,1
1.614,0.001,323.9,1
1.711,0.001,343.1,1
1.818,0.001,364.6,1
1.919,0.001,384.9,1
2.018,0.001,404.7,1
2.112,0.001,423.6,1
