I,V,sigma_I,sigma_V
0.0245,0.2,2.8867513459481293e-05,0.002886751345948129
0.0361,0.3,2.8867513459481293e-05,0.002886751345948129
0.0485,0.4,2.8867513459481293e-05,0.002886751345948129
0.0723,0.6,2.8867513459481293e-05,0.002886751345948129
