I,V,sigma_I,sigma_V
6e-06,0.203,2.8867513459481292e-08,0.0002886751345948129
8.5e-06,0.296,2.8867513459481292e-08,0.0002886751345948129
1.19e-05,0.419,2.8867513459481292e-08,0.0002886751345948129
1.38e-05,0.49,2.8867513459481292e-08,0.0002886751345948129
1.58e-05,0.562,2.8867513459481292e-08,0.0002886751345948129
