I,V,sigma_I,sigma_V
2.34e-05,0.2,2.8867513459481292e-08,0.0014433756729740645
3.97e-05,0.344,2.8867513459481292e-08,0.0014433756729740645
5.23e-05,0.456,2.8867513459481292e-08,0.0014433756729740645
6.18e-05,0.539,2.8867513459481292e-08,0.0014433756729740645
7.23e-05,0.632,2.8867513459481292e-08,0.0014433756729740645
8.43e-05,0.737,2.8867513459481292e-08,0.0014433756729740645
9.72e-05,0.85,2.8867513459481292e-08,0.0014433756729740645
0.0001051,0.921,2.8867513459481292e-08,0.0014433756729740645
0.000116,1.017,2.8867513459481292e-08,0.0014433756729740645
0.0001283,1.126,2.8867513459481292e-08,0.0014433756729740645
0.0001441,1.264,2.8867513459481292e-08,0.0014433756729740645
0.00015769999999999998,1.387,2.8867513459481292e-08,0.0014433756729740645
0.0001641,1.442,2.8867513459481292e-08,0.0014433756729740645
0.00017830000000000002,1.567,2.8867513459481292e-08,0.0014433756729740645
0.00018580000000000002,1.633,2.8867513459481292e-08,0.0014433756729740645
0.000194,1.705,2.8867513459481292e-08,0.0014433756729740645
0.0001995,1.754,2.8867513459481292e-08,0.0014433756729740645
0.00021730000000000002,1.91,2.8867513459481292e-08,0.0014433756729740645
0.00022669999999999998,1.993,2.8867513459481292e-08,0.0014433756729740645
0.0002362,2.077,2.8867513459481292e-08,0.0014433756729740645
