V[V],sigma_V[V],I[muA],sigma_I[muA]
0.70,0.01,1.8,0.1
1.00,0.1,2.4,0.1
1.20,0.1,2.8,0.1
1.41,0.1,3.2,0.1
1.60,0.1,3.7,0.1
1.81,0.1,4.1,0.1
2.01,0.1,4.5,0.1
2.21,0.1,4.9,0.1
2.45,0.1,5.4,0.1
2.72,0.1,6.0,0.1
3.00,0.1,6.6,0.1
3.20,0.1,7.0,0.1
3.51,0.1,7.7,0.1
3.80,0.1,8.4,0.1
4.00,0.1,8.8,0.1
