V[V],sigma_V[V],I[muA],sigma_I[muA]
0.203,0.001,6.0,0.1
0.296,0.001,8.5,0.1
0.419,0.001,11.9,0.1
0.490,0.001,13.8,0.1
0.562,0.001,15.8,0.1

