V[V],sigma_V[V],I[muA],sigma_I[muA]
0.200,0.005,23.4,0.1
0.344,0.005,39.7,0.1
0.456,0.005,52.3,0.1
0.539,0.005,61.8,0.1
0.632,0.005,72.3,0.1
0.737,0.005,84.3,0.1
0.850,0.005,97.2,0.1
0.921,0.005,105.1,0.1
1.017,0.005,116.0,0.1
1.126,0.005,128.3,0.1
1.264,0.005,144.1,0.1
1.387,0.005,157.7,0.1
1.442,0.005,164.1,0.1
1.567,0.005,178.3,0.1
1.633,0.005,185.8,0.1
1.705,0.005,194.0,0.1
1.754,0.005,199.5,0.1
1.910,0.005,217.3,0.1
1.993,0.005,226.7,0.1
2.077,0.005,236.2,0.1
