frequency,amplitude_CH1,err_amplitude_CH1,amplitude_CH2,err_amplitude_CH2,amplitude_MTH,err_amplitude_MTH,phase_diff_ch1_ch2,err_phase_diff_ch1_ch2,phase_diff_ch1_mth,err_phase_diff_ch1_mth
1021.0,1.0126666666666666,0.005874852244004887,0.35583333333333333,0.00687184270936276,0.9379166666666667,0.02170402761735286,1.1677717340617753,0.008988769550133386,-0.34065063491265035,0.008149317715096584
113.8,1.0847916666666668,0.00764898322945236,1.035625,0.006714239980706532,0.3163333333333333,0.009603240193925297,0.2861145461058234,0.008154028462546504,-1.317199551153258,0.01156462275817679
1348.0,1.0021666666666669,0.007651252620758686,0.2827777777777778,0.007372370843348266,0.9522222222222222,0.01408965998590876,1.2031634008113634,0.011453338798001934,-0.26906073599335495,0.010334549227973677
1724.0,0.9917708333333333,0.0064616926746961754,0.22927083333333326,0.005048131431765711,0.9616666666666667,0.01381089210517343,1.3185493504024883,0.014712215122309278,-0.2173995752640694,0.013006141468038943
2225.0,0.98125,0.009815033191141504,0.1795454545454545,0.0018013743350424056,0.9598148148148147,0.01640300710160513,1.3781207333633407,0.018710479878821823,-0.1813545961056763,0.016794756575106054
2700.0,0.9886666666666667,0.013431927138972575,0.15354166666666663,0.004633563143781186,0.9793333333333333,0.0212001048215438,1.4497705773959895,0.015231379691983177,-0.15872783594968054,0.009289481600739714
3039.0,0.9831666666666667,0.015957843769688236,0.1385,0.003456073558887935,0.9793333333333333,0.024284196964738738,1.4696498084309588,0.01732463719067701,-0.1397571618754031,0.009936581237290056
314.5,1.0593333333333335,0.0029697549468677233,0.7951666666666667,0.0056334812603852135,0.6716666666666665,0.014907119849998615,0.6687454969490217,0.009515519145495546,-0.8709487349295788,0.010273150664687874
3414.0,0.98375,0.013475801357330267,0.12347222222222219,0.003136552719621167,0.9877777777777776,0.023253832818284807,1.5352159724062797,0.020176601086903567,-0.11947454772250517,0.01077219793161308
763.0,1.022361111111111,0.008189028341945473,0.45095238095238094,0.006569228410153056,0.8975000000000001,0.01708638184181904,1.061767516476701,0.012019712368077414,-0.43385359583823285,0.01133325553510055
